,ZipCode,Date,Zestimate,LogValue,AnchorDate,EventTime,RelLogValue
11238,20109,2020-03-31,315412.39984517504,12.661636267402749,2019-09-30,6,0.043108821519851404
11242,68142,2020-03-31,276246.7391504489,12.529049727764157,2021-10-31,-19,-0.16652945543252784
11250,18603,2020-03-31,169432.32882414685,12.04020888610961,2021-06-30,-15,-0.1379923995199146
11251,68138,2020-03-31,195001.99402067196,12.180765063240637,2020-02-29,1,0.007842068796190205
11254,23150,2020-03-31,205648.20593865015,12.233922249762749,2022-03-31,-24,-0.238263555399989
11262,50061,2020-04-30,420088.7195801958,12.948221205047842,2018-11-30,17,0.05415629985147774
11267,35810,2020-04-30,114811.75269069835,11.65104913298212,2021-03-31,-11,-0.1948387895371937
11269,20136,2020-04-30,493385.5493751452,13.109046194799175,2021-06-30,-14,-0.1635430607563162
11275,43054,2020-04-30,381124.4312227888,12.85088119192549,2022-03-31,-23,-0.22793241425456223
11277,76504,2020-04-30,138148.33151059513,11.83608325290328,2022-03-31,-23,-0.34585279939649816
11281,43207,2020-04-30,139708.8488192421,11.847315884822754,2021-09-30,-17,-0.1835385863263248
11285,78245,2020-04-30,205378.4229684301,12.232609522119388,2018-11-30,17,0.07232162206013903
11286,85338,2020-04-30,301556.3901068619,12.616712309524655,2021-05-31,-13,-0.20698855411204597
11287,97124,2020-04-30,427285.40483194235,12.965207464325013,2021-03-31,-11,-0.09551031155902834
11288,78251,2020-04-30,203277.4755026891,12.222327199098991,2022-01-31,-21,-0.24379194280693994
11289,43130,2020-04-30,174232.76107228213,12.068147391575332,2021-09-30,-17,-0.20070068860855805
11293,20109,2020-04-30,317385.00393933576,12.667870839390352,2019-09-30,7,0.049343393507454536
11297,68142,2020-04-30,277529.4308502739,12.533682263663072,2021-10-31,-18,-0.1618969195336124
11305,18603,2020-04-30,171126.2546085888,12.050156894096899,2021-06-30,-14,-0.12804439153262592
11306,68138,2020-04-30,196371.7824994647,12.187764990952479,2020-02-29,2,0.014841996508032196
11309,23150,2020-04-30,206558.5567688143,12.23833921907317,2022-03-31,-23,-0.23384658608956777
11317,50061,2020-05-31,421916.926381987,12.95256371672456,2018-11-30,18,0.058498811528195915
11321,35810,2020-05-31,116724.2190063534,11.66756932893094,2021-03-31,-10,-0.17831859358837399
11324,20136,2020-05-31,495225.0603384393,13.11276760557133,2021-06-30,-13,-0.1598216499841616
11329,43054,2020-05-31,382736.98166042945,12.85510330029728,2022-03-31,-22,-0.22371030588277208
11332,76504,2020-05-31,138821.03406036444,11.840940857795124,2022-03-31,-22,-0.34099519450465365
11336,43207,2020-05-31,140804.85111432255,11.855130176049506,2021-09-30,-16,-0.1757242950995721
11340,78245,2020-05-31,205741.74690419596,12.234377005483017,2018-11-30,18,0.07408910542376823
11341,85338,2020-05-31,303425.100055337,12.622890071727616,2021-05-31,-12,-0.20081079190908468
11342,97124,2020-05-31,427658.963883922,12.966081343584113,2021-03-31,-10,-0.09463643229992869
11343,78251,2020-05-31,203810.8436942584,12.224947605883546,2022-01-31,-20,-0.24117153602238517
11344,43130,2020-05-31,174999.42414328922,12.072537962290461,2021-09-30,-16,-0.19631011789342878
11348,20109,2020-05-31,318050.0819010551,12.669964139616916,2019-09-30,8,0.05143669373401849
11352,68142,2020-05-31,278264.83433550404,12.53632858069246,2021-10-31,-17,-0.1592506025042244
11360,18603,2020-05-31,172248.6692647003,12.056694463242,2021-06-30,-13,-0.1215068223875253
11361,68138,2020-05-31,197309.6641282957,12.192529672708222,2020-02-29,3,0.01960667826377538
11365,23150,2020-05-31,207278.88962003056,12.241820458313262,2022-03-31,-22,-0.23036534684947618
11372,50061,2020-06-30,423807.2133019457,12.95703394520463,2018-11-30,19,0.06296904000826586
