,TreatedZip,EventTime,RelLogValue,DonorCount
635,35810,-22,-0.29839338856878256,5
636,35810,-21,-0.2909005590319008,5
637,35810,-20,-0.28181468752103384,5
638,35810,-19,-0.2734597722709037,5
639,35810,-18,-0.26681277824096516,5
640,35810,-17,-0.2597115439157939,5
641,35810,-16,-0.2493824417789245,5
642,35810,-15,-0.23739005050335854,5
643,35810,-14,-0.22604494351499937,5
644,35810,-13,-0.2157299666111058,5
645,35810,-12,-0.20593855261859595,5
646,35810,-11,-0.1924800437600922,5
647,35810,-10,-0.17758408254589675,5
648,35810,-9,-0.1608654859175765,5
649,35810,-8,-0.146487186934241,5
650,35810,-7,-0.13268263806614727,5
651,35810,-6,-0.11628585611374546,5
652,35810,-5,-0.09761149238010418,5
653,35810,-4,-0.07808592727166967,5
654,35810,-3,-0.061369551017731894,5
655,35810,-2,-0.04380920424878561,5
656,35810,-1,-0.02318537736333539,5
657,35810,0,0.0,5
658,35810,1,0.02242904203377023,5
659,35810,2,0.043708369415559646,5
660,35810,3,0.06494721917604344,5
661,35810,4,0.08476794317434048,5
662,35810,5,0.09875506546402804,5
663,35810,6,0.1076623381920335,5
664,35810,7,0.1146785599982472,5
665,35810,8,0.1249034217004656,5
666,35810,9,0.13585415470510184,5
667,35810,10,0.14911679805987282,5
668,35810,11,0.164985896521792,5
669,35810,12,0.1830046977820686,5
670,35810,13,0.20032184765578515,5
671,35810,14,0.21183609507202128,5
672,35810,15,0.21965333455696195,5
673,35810,16,0.22209452513751415,5
674,35810,17,0.22269675528253713,5
675,35810,18,0.22070106649426116,5
676,35810,19,0.21614476512211808,5
677,35810,20,0.21034189027156244,5
678,35810,21,0.20575236958566984,5
679,35810,22,0.2080614944654428,5
680,35810,23,0.21450210447797033,5
681,35810,24,0.22251850302429155,5
682,36105,-24,0.00990365071267547,5
683,36105,-23,0.012489518246112752,5
684,36105,-22,0.022087692116499368,5
685,36105,-21,0.03140166070118191,5
686,36105,-20,0.03623009545939162,5
687,36105,-19,0.035213327053634204,5
688,36105,-18,0.02557021712076981,5
689,36105,-17,0.01274067674088748,5
690,36105,-16,0.0002932511470959298,5
691,36105,-15,-0.003299170193068335,5
692,36105,-14,-0.0064738657764870314,5
693,36105,-13,-0.010267617747920354,5
694,36105,-12,-0.012791912275739748,5
695,36105,-11,-0.008573437312742982,5
696,36105,-10,-0.0006647466176385563,5
697,36105,-9,0.008601663244564151,5
698,36105,-8,0.017026145015823956,5
699,36105,-7,0.02236729206067878,5
700,36105,-6,0.020465402623218408,5
701,36105,-5,0.011890324738499913,5
702,36105,-4,0.004615360859126128,5
703,36105,-3,-0.0005340331665749431,5
704,36105,-2,0.0017391873365891542,5
705,36105,-1,0.0010183705352414308,5
706,36105,0,0.0,5
707,36105,1,-0.008244208204939341,5
708,36105,2,-0.018051782152022612,5
709,36105,3,-0.024399525743811525,5
710,36105,4,-0.02746552499845123,5
711,36105,5,-0.02692936479149104,5
712,36105,6,-0.02594054898634468,5
713,36105,7,-0.022977748921875474,5
714,36105,8,-0.015148971741400175,5
715,36105,9,-0.007560446590125025,5
716,36105,10,0.0016123360448482061,5
717,36105,11,0.008830848903648204,5
718,36105,12,0.015452343846927974,5
719,36105,13,0.019373560273713154,5
720,36105,14,0.01909340441049956,5
721,36105,15,0.014048875572940035,5
722,36105,16,0.0101886422025796,5
723,36105,17,0.0088424360832704,5
724,37066,-24,-0.17445905015494248,5
725,37066,-23,-0.15638614305312934,5
726,37066,-22,-0.1393918163031948,5
727,37066,-21,-0.11989434111213307,5
728,37066,-20,-0.09914677946436648,5
729,37066,-19,-0.07727701261863125,5
730,37066,-18,-0.05484378821017728,5
731,37066,-17,-0.03225407981617785,5
732,37066,-16,-0.008953496962836028,5
733,37066,-15,0.011301540526028475,5
734,37066,-14,0.02862234266635113,5
735,37066,-13,0.03704291505455011,5
736,37066,-12,0.03814014893442348,5
737,37066,-11,0.032379438871202385,5
738,37066,-10,0.025280554786753485,5
739,37066,-9,0.017860600741580867,5
740,37066,-8,0.010524236274939014,5
741,37066,-7,0.003040995839884886,5
742,37066,-6,-0.00297534909226016,5
743,37066,-5,-0.006649208278176033,5
744,37066,-4,-0.006777773282790634,5
745,37066,-3,-0.005208397103515239,5
